                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.74525,                0.37603,                0.79671,                0.95264,                0.98009,                0.98806,                0.79334,                0.74165,                0.33578,                0.81402,              0.0001783,              0.0001783,              0.0001783
                     85,                0.71373,                  0.366,                0.80243,                0.95167,                0.98042,                0.98783,                0.80254,                0.72807,                0.33345,                0.81162,              0.0001684,              0.0001684,              0.0001684
                     86,                0.74364,                0.38124,                0.80072,                0.95221,                0.98038,                0.98794,                0.79996,                0.71144,                0.32933,                0.81043,              0.0001585,              0.0001585,              0.0001585
                     87,                0.71355,                0.36656,                 0.8018,                0.95229,                0.98228,                0.98737,                 0.7911,                0.71706,                0.32883,                0.81138,              0.0001486,              0.0001486,              0.0001486
                     88,                0.70212,                0.36242,                0.79769,                0.98215,                0.95614,                0.98659,                0.79139,                0.72452,                0.33265,                0.81213,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.6949,                0.35822,                0.79593,                0.98139,                0.95556,                0.98462,                0.79708,                0.71191,                0.33063,                 0.8106,              0.0001288,              0.0001288,              0.0001288
                     90,                0.68828,                0.35389,                0.79051,                0.97574,                0.96011,                0.98705,                0.80143,                0.71556,                0.33114,                0.81308,              0.0001189,              0.0001189,              0.0001189
                     91,                0.72256,                0.35867,                0.79651,                0.97719,                0.95806,                0.98716,                0.76924,                0.76876,                0.33849,                0.81606,               0.000109,               0.000109,               0.000109
                     92,                0.68579,                0.33663,                0.79426,                0.97752,                0.95764,                0.98723,                0.79759,                0.72724,                0.32897,                 0.8118,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.6915,                0.34059,                0.79905,                0.98062,                0.95738,                0.98753,                0.80269,                0.70098,                0.32949,                0.81085,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.68671,                0.34855,                0.80162,                0.97967,                0.95837,                0.98716,                0.80157,                0.71262,                0.32631,                0.81095,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.67095,                0.33469,                0.79206,                0.98154,                 0.9585,                0.98728,                0.80926,                0.69725,                0.31252,                0.80974,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.68807,                0.34177,                0.80405,                0.98286,                0.95826,                0.98742,                0.80048,                0.70693,                0.31766,                0.81022,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.68551,                0.34003,                0.79198,                0.97967,                0.95826,                0.98756,                0.80604,                0.70135,                0.30776,                 0.8102,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.65541,                0.33548,                0.79316,                0.95565,                0.97787,                0.98868,                0.80907,                 0.6996,                0.31273,                 0.8111,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.67966,                0.33396,                0.79378,                0.95519,                0.97982,                0.98868,                0.81088,                0.69524,                0.31314,                0.81014,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.66347,                0.34065,                0.80227,                0.95515,                0.97973,                0.98868,                0.80654,                0.70237,                 0.3113,                0.81072,               1.99e-05,               1.99e-05,               1.99e-05
